date,ASACX10,FYCCZA,TFPKQ,TFPJQ
1959-03-31,,,4.98,0.32
1959-06-30,,,4.31,0.33
1959-09-30,,,-1.6,0.33
1959-12-31,,,0.11,0.32
1960-03-31,,,9.14,0.32
1960-06-30,,,-7.4,0.31
1960-09-30,,,-0.44,0.31
1960-12-31,,,-3.86,0.31
1961-03-31,,,1.72,0.31
1961-06-30,,,10.17,0.31
1961-09-30,,,4.33,0.32
1961-12-31,,,4.5,0.32
1962-03-31,,,1.82,0.32
1962-06-30,,,0.82,0.32
1962-09-30,,,4.53,0.32
1962-12-31,,,3.49,0.32
1963-03-31,,,1.14,0.33
1963-06-30,,,2.61,0.33
1963-09-30,,,6.71,0.33
1963-12-31,,,0.52,0.33
1964-03-31,,,3.95,0.33
1964-06-30,,,1.64,0.33
1964-09-30,,,3.86,0.33
1964-12-31,,,-0.73,0.33
1965-03-31,,,6.69,0.34
1965-06-30,,,0.11,0.34
1965-09-30,,,6.43,0.34
1965-12-31,,,5.27,0.34
1966-03-31,,,6.13,0.34
1966-06-30,,,-2.68,0.34
1966-09-30,,,-0.73,0.33
1966-12-31,,,0.95,0.33
1967-03-31,,,0.45,0.33
1967-06-30,,,1.5,0.33
1967-09-30,,,0.44,0.33
1967-12-31,,,0.86,0.33
1968-03-31,,,6.2,0.33
1968-06-30,,,3.36,0.33
1968-09-30,,,1.3,0.32
1968-12-31,,,-0.96,0.32
1969-03-31,,,-0.3,0.32
1969-06-30,,,-1.32,0.31
1969-09-30,,,-0.3,0.31
1969-12-31,,,-3.12,0.3
1970-03-31,,,-2.15,0.3
1970-06-30,,,1.43,0.29
1970-09-30,,,4.53,0.29
1970-12-31,,,-4.5,0.3
1971-03-31,,,9.41,0.3
1971-06-30,,,0.27,0.31
1971-09-30,,6.2371,3.45,0.31
1971-12-31,,5.9836,-0.59,0.31
1972-03-31,,6.1112,3.78,0.31
1972-06-30,,6.1891,6.16,0.31
1972-09-30,,6.2552,2.57,0.31
1972-12-31,,6.2625,6.47,0.31
1973-03-31,,6.4497,6.02,0.31
1973-06-30,,6.5838,-0.67,0.31
1973-09-30,,6.9933,-4.63,0.31
1973-12-31,,6.6489,0.5,0.3
1974-03-31,,6.9413,-7.93,0.3
1974-06-30,,7.585,-2.52,0.3
1974-09-30,,7.9296,-4.68,0.3
1974-12-31,,7.3828,-2.24,0.3
1975-03-31,,7.2597,0.49,0.31
1975-06-30,,7.707,4.86,0.32
1975-09-30,,7.8769,5.82,0.32
1975-12-31,,7.8602,1.39,0.32
1976-03-31,,7.5949,6.52,0.32
1976-06-30,,7.5837,1.84,0.32
1976-09-30,,7.5705,0.78,0.32
1976-12-31,,7.1379,0.68,0.32
1977-03-31,,7.2233,2.45,0.33
1977-06-30,,7.2986,3.41,0.33
1977-09-30,,7.2506,5.16,0.33
1977-12-31,,7.4697,-2.9,0.33
1978-03-31,,7.8766,-1.39,0.33
1978-06-30,,8.0929,8.03,0.33
1978-09-30,,8.2427,-0.1,0.32
1978-12-31,,8.4799,0.26,0.32
1979-03-31,,8.7463,-1.71,0.32
1979-06-30,,8.7688,-4.15,0.31
1979-09-30,,8.7428,-1.6,0.31
1979-12-31,6.9,9.9973,-1.57,0.31
1980-03-31,,11.3783,-0.61,0.3
1980-06-30,7.85,10.2261,-7.57,0.3
1980-09-30,,10.6375,0.34,0.3
1980-12-31,8.25,11.8542,5.15,0.31
1981-03-31,,12.367,3.87,0.32
