date,GDP,CNP16OV,GDPDEF,AWHNONAG,CE16OV,COMPNFB,PCEPILFE,DFF,PCE,FPI,BAA,GS20,GS10,GS30,GDI,AAA,LTGOVTBD
1959-03-31,510.33,114714,16.347,,63940,7.081,16.742,2.58,309.5,79.29,4.87,3.97,3.99,,510.148,4.13,3.91
1959-06-30,522.653,115139,16.372,,64772,7.14,16.831,3.08,315.5,82.093,4.95,4.11,4.26,,524.881,4.35,4.06
1959-09-30,525.034,115551,16.435,,64875,7.182,16.944,3.57,320.7,83.222,5.12,4.2,4.5,,522.573,4.47,4.16
1959-12-31,528.6,115918,16.499,,64927,7.251,17.041,3.99,322.9,82.404,5.27,4.24,4.58,,528.21,4.57,4.17
1960-03-31,542.648,116708,16.566,,65213,7.406,17.095,3.93,326.4,85.276,5.31,4.28,4.49,,542.123,4.55,4.22
1960-06-30,541.08,117037,16.607,,66061,7.455,17.16,3.7,332.2,83.872,5.25,4.16,4.26,,543.395,4.45,4.11
1960-09-30,545.604,117411,16.665,,66024,7.499,17.227,2.94,332.1,82.057,5.1,3.87,3.83,,545.289,4.31,3.82
1960-12-31,540.197,117824,16.714,,65840,7.532,17.284,2.3,334,81.775,5.1,3.93,3.89,,543.937,4.32,3.91
1961-03-31,545.018,118254,16.75,,65738,7.599,17.313,1.99,334.5,80.926,5.06,3.85,3.79,,546.221,4.27,3.83
1961-06-30,555.545,118636,16.789,,65605,7.705,17.37,1.73,339.5,82.316,5.02,3.81,3.79,,556.72,4.28,3.8
1961-09-30,567.664,119001,16.832,,65667,7.762,17.446,1.68,342.4,84.261,5.11,4,3.98,,567.148,4.44,3.97
1961-12-31,580.612,119190,16.885,,65967,7.818,17.488,2.4,349.6,86.935,5.11,4.03,3.97,,582.407,4.41,4.01
1962-03-31,594.013,119379,16.972,,66380,7.943,17.552,2.46,354.9,88.666,5.06,4.09,4.02,,592.505,4.41,4.06
1962-06-30,600.366,119819,16.999,,66577,7.996,17.62,2.61,360.5,91.262,5.01,3.94,3.87,,600.073,4.3,3.89
1962-09-30,609.027,120368,17.035,,66881,8.053,17.678,2.85,364.4,91.972,5.05,4.02,3.99,,607.426,4.34,3.98
